,date
964,20120528
965,20120529
966,20120530
967,20120531
968,20120601
969,20120604
970,20120605
971,20120606
972,20120607
973,20120608
974,20120611
975,20120612
976,20120613
977,20120614
978,20120615
979,20120618
980,20120619
981,20120620
982,20120621
983,20120622
984,20120625
985,20120626
986,20120627
987,20120628
988,20120629
989,20120703
990,20120704
991,20120705
992,20120706
993,20120709
994,20120710
995,20120711
996,20120712
997,20120713
998,20120716
999,20120717
1000,20120718
1001,20120719
1002,20120720
1003,20120723
1004,20120724
1005,20120725
1006,20120726
1007,20120727
1008,20120730
1009,20120731
1010,20120801
1011,20120802
1012,20120803
1013,20120806
1014,20120807
1015,20120808
1016,20120809
1017,20120810
1018,20120813
1019,20120814
1020,20120815
1021,20120816
1022,20120817
1023,20120820
1024,20120821
1025,20120822
1026,20120823
1027,20120824
1028,20120827
1029,20120828
1030,20120829
1031,20120830
1032,20120831
1033,20120903
1034,20120904
1035,20120905
1036,20120906
1037,20120907
1038,20120910
1039,20120911
1040,20120912
1041,20120913
1042,20120914
1043,20120917
1044,20120918
1045,20120919
1046,20120920
1047,20120921
1048,20120924
1049,20120925
1050,20120926
1051,20120927
1052,20120928
1053,20121003
1054,20121004
1055,20121005
1056,20121008
1057,20121009
1058,20121010
1059,20121011
1060,20121012
1061,20121015
1062,20121016
1063,20121017
1064,20121018
1065,20121019
1066,20121022
1067,20121024
1068,20121025
1069,20121026
1070,20121029
1071,20121030
1072,20121031
1073,20121101
1074,20121102
1075,20121105
1076,20121106
1077,20121107
1078,20121108
1079,20121109
1080,20121112
1081,20121113
1082,20121114
1083,20121115
1084,20121116
1085,20121119
1086,20121120
1087,20121121
1088,20121122
1089,20121123
1090,20121126
1091,20121127
1092,20121128
1093,20121129
1094,20121130
1095,20121203
1096,20121204
1097,20121205
1098,20121206
1099,20121207
1100,20121210
1101,20121211
1102,20121212
1103,20121213
1104,20121214
1105,20121217
1106,20121218
1107,20121219
1108,20121220
1109,20121221
1110,20121224
1111,20121227
1112,20121228
1113,20121231
1114,20130102
1115,20130103
1116,20130104
1117,20130107
1118,20130108
1119,20130109
1120,20130110
1121,20130111
1122,20130114
1123,20130115
1124,20130116
1125,20130117
1126,20130118
1127,20130121
1128,20130122
1129,20130123
1130,20130124
1131,20130125
1132,20130128
1133,20130129
1134,20130130
1135,20130131
1136,20130201
1137,20130204
1138,20130205
1139,20130206
1140,20130207
1141,20130208
1142,20130214
1143,20130215
1144,20130218
1145,20130219
1146,20130220
1147,20130221
1148,20130222
1149,20130225
1150,20130226
1151,20130227
1152,20130228
1153,20130301
1154,20130304
1155,20130305
1156,20130306
1157,20130307
1158,20130308
1159,20130311
