,Closing Price,Open Price,High price,Low Price
794,19045.44,19216.29,19248.64,18627.65
795,19181.5,19186.76,19269.41,18935.08
796,19455.31,19545.5,19652.53,19454.74
797,18917.95,19247.59,19247.59,18876.06
798,19014.8,19008.61,19055.16,18732.75
799,18824.17,18891.5,19023.57,18698.9
800,17911.95,18296.8,18296.8,17859.31
801,17668.83,17585.79,17813.57,17373.41
802,17407.8,17634.42,17734.84,16999.54
803,18130.55,17818.97,18136.02,17769.06
804,18011.06,17962.49,18101.27,17843.95
805,17592.41,17946.24,17946.24,17502.08
806,16822.15,17179.2,17179.2,16717.14
807,16250.27,16731.58,16840.91,16170.35
808,17172.28,16975.0,17179.93,16849.45
809,17707.01,17540.72,17800.72,17505.38
810,17711.06,17853.26,17859.35,17437.84
811,18141.59,18441.87,18456.16,18041.7
812,18329.46,17990.56,18411.77,17804.56
813,18757.81,18601.65,18758.74,18453.05
814,18501.79,18639.43,18665.95,18367.85
815,18873.99,18808.66,18908.17,18675.81
816,18076.46,18411.4,18411.4,17963.26
817,18309.22,18400.33,18426.29,18203.99
818,17983.1,18198.12,18198.12,17782.0
819,18025.72,18034.2,18082.43,17926.29
820,18771.82,18444.16,18826.85,18435.41
821,18968.2,18867.51,18981.57,18801.42
822,19066.54,18727.96,19106.74,18705.08
823,19688.7,19067.59,19693.19,19046.47
824,20019.24,20152.22,20272.38,19972.24
825,19864.87,20027.72,20155.62,19699.33
826,19369.96,19461.08,19698.99,19322.6
827,19733.71,19091.85,19745.48,19024.07
828,19242.5,19418.82,19541.12,19142.34
829,19842.79,19922.77,19981.52,19773.31
830,19677.89,19894.22,19977.09,19649.57
831,19678.47,19848.5,19914.92,19659.94
832,20014.43,20067.38,20173.14,19967.17
833,18963.89,19091.4,19199.08,18945.58
834,19137.17,19143.58,19206.34,19028.31
835,19508.18,19600.37,19640.68,19496.16
836,19348.44,19305.28,19420.06,19240.35
837,18960.9,19483.1,19483.1,18768.67
838,18817.47,18686.17,18958.97,18657.74
839,18491.23,18561.04,18561.04,18398.96
840,18225.85,18213.72,18293.94,18054.23
841,18251.59,18225.48,18355.12,18017.5
842,17864.43,17954.58,17964.4,17838.74
843,17935.1,17657.69,17997.07,17657.69
844,17689.48,17658.78,17827.81,17613.2
845,18037.81,18019.21,18095.2,17954.19
846,18256.2,18225.1,18372.45,18053.92
847,17989.35,18192.29,18192.29,17860.8
848,19002.26,19033.96,19050.56,18868.32
849,19040.39,18977.2,19151.65,18878.31
850,19179.69,19117.89,19188.86,18972.9
851,18942.23,19011.81,19038.48,18818.68
852,19240.58,19114.02,19242.8,19009.43
853,19107.81,19112.33,19137.56,18956.41
854,18586.23,18721.16,18840.93,18511.42
855,18575.66,18853.32,18919.42,18508.12
856,18447.17,18327.45,18465.39,18297.66
857,18354.43,18301.05,18476.15,18280.67
858,18026.84,18122.73,18133.94,17895.15
859,18285.39,18025.6,18390.41,18025.6
860,18070.21,18053.64,18092.35,17821.52
861,18080.2,18044.75,18270.7,18010.26
862,18416.45,18462.64,18473.19,18288.65
863,18378.23,18356.87,18388.01,18238.38
864,18629.17,18589.68,18636.75,18539.59
865,18518.67,18621.5,18621.5,18461.97
866,18397.92,18329.61,18409.12,18293.81
867,18434.39,18489.04,18506.27,18415.85
868,18877.41,18770.64,18886.12,18724.17
869,18727.31,18970.6,18970.6,18687.94
870,18813.41,18753.38,18821.09,18723.28
871,18593.06,18784.86,18784.86,18506.58
872,18865.72,18588.36,18884.26,18302.84
873,19004.28,18948.12,19086.53,18858.57
874,19151.94,19071.9,19175.85,18983.14
875,19095.38,19112.76,19261.29,19050.95
876,19204.42,19232.21,19232.21,19073.18
